Alpha 3 Code,Year,IS dC_loss (TgCO2),IS dC_loss unc (TgCO2),LNLG dC_loss (TgCO2),LNLG dC_loss unc (TgCO2),LNLGIS dC_loss (TgCO2),LNLGIS dC_loss unc (TgCO2),LNLGOGIS dC_loss (TgCO2),LNLGOGIS dC_loss unc (TgCO2),IS NBE (TgCO2),IS NBE unc (TgCO2),LNLG NBE (TgCO2),LNLG NBE unc (TgCO2),LNLGIS NBE (TgCO2),LNLGIS NBE unc (TgCO2),LNLGOGIS NBE (TgCO2),LNLGOGIS NBE unc (TgCO2),IS NCE (TgCO2),IS NCE unc (TgCO2),LNLG NCE (TgCO2),LNLG NCE unc (TgCO2),LNLGIS NCE (TgCO2),LNLGIS NCE unc (TgCO2),LNLGOGIS NCE (TgCO2),LNLGOGIS NCE unc (TgCO2),Rivers (TgCO2),River unc (TgCO2),Wood+Crop (TgCO2),Wood+Crop unc (TgCO2),FF (TgCO2),FF unc (TgCO2),Z-statistic,FUR IS,FUR LNLG,FUR LNLGIS,FUR LNLGOGIS
ARM,mean,-1.6427200000000002,2.55883,1.0082799999999998,3.8029800000000002,1.6295,5.21531,0.360473,3.4479800000000003,-0.783547,2.52583,1.86745,3.7808599999999997,2.48867,5.1992,1.21964,3.42357,4.83512,2.49651,7.486110000000001,3.7613300000000005,8.107330000000001,5.18502,6.838310000000001,3.40199,-0.14429,0.277733,1.00346,0.30103800000000003,5.61866,0.383801,0.8,0.02,0.52,0.38,0.46
ATG,2015,-0.185352,0.124838,-0.185947,0.156946,-0.192708,0.13137200000000002,-0.049624400000000006,0.192733,-0.14866,0.124838,-0.149256,0.156946,-0.15601600000000002,0.13137200000000002,-0.0129329,0.192733,0.359568,0.115026,0.35897199999999996,0.14926,0.35221199999999997,0.12208599999999999,0.495295,0.186527,-1.91797e-06,3.83595e-06,0.036693300000000005,0.011008,0.508228,0.04851369999999999,-0.0,0.05,-0.09,0.0,-0.01
ATG,2016,-0.115648,0.155124,-0.0418484,0.1117,-0.09193480000000001,0.0832059,0.065841,0.21929899999999997,-0.0789573,0.155124,-0.00515747,0.1117,-0.0552439,0.0832059,0.102532,0.21929899999999997,0.42766000000000004,0.146973,0.501459,0.10007100000000001,0.45137299999999997,0.0667879,0.6091489999999999,0.21361,-2.4190599999999996e-06,4.838130000000001e-06,0.036693300000000005,0.011008,0.506617,0.049624699999999994,0.37,0.05,-0.09,0.0,-0.01
ATG,2017,-0.147019,0.13085,-0.173254,0.150422,-0.18953499999999998,0.148541,-0.024390799999999997,0.21616999999999997,-0.110328,0.13085,-0.13656400000000002,0.150422,-0.152844,0.148541,0.012300100000000001,0.21616999999999997,0.39611599999999997,0.121075,0.36988000000000004,0.142001,0.3536,0.140007,0.518744,0.21039699999999997,-2.4421e-06,4.88421e-06,0.036693300000000005,0.011008,0.506444,0.049624699999999994,-0.18,0.05,-0.09,0.0,-0.01
ATG,2018,-0.21471500000000002,0.158657,-0.21696100000000001,0.137417,-0.220993,0.12900899999999998,0.088835,0.220304,-0.178022,0.158657,-0.180269,0.137417,-0.1843,0.12900899999999998,0.125527,0.220304,0.338782,0.150697,0.336535,0.128143,0.332504,0.119083,0.642332,0.214642,-9.100289999999999e-07,1.8200599999999997e-06,0.036693300000000005,0.011008,0.516804,0.049624699999999994,-0.01,0.05,-0.09,0.0,-0.01
ATG,2019,-0.13033,0.14140899999999998,-0.17293599999999998,0.129914,-0.15191400000000002,0.11831400000000002,0.0888359,0.192123,-0.0936386,0.14140899999999998,-0.136245,0.129914,-0.115222,0.11831400000000002,0.125527,0.192123,0.43578599999999995,0.132826,0.39318000000000003,0.12051600000000001,0.41420200000000007,0.10790999999999999,0.6549520000000001,0.185897,-1.80278e-06,3.60556e-06,0.036693300000000005,0.011008,0.529424,0.04851369999999999,-0.31,0.05,-0.09,0.0,-0.01
ATG,2020,-0.179464,0.163102,-0.10565799999999999,0.106099,-0.105468,0.120207,0.08846989999999999,0.107654,-0.142773,0.163102,-0.0689661,0.106099,-0.068777,0.120207,0.125161,0.107654,0.33226999999999995,0.155719,0.406077,0.0943584,0.40626599999999996,0.109983,0.600204,0.0961035,-1.8983900000000003e-06,3.7967800000000005e-06,0.036693300000000005,0.011008,0.47504300000000005,0.04851369999999999,0.45,0.05,-0.09,0.0,-0.01
ATG,mean,-0.11519800000000001,0.132827,-0.173984,0.138768,-0.153805,0.11621400000000001,0.088714,0.149662,-0.07850689999999999,0.13237100000000002,-0.137293,0.13833099999999998,-0.11711400000000001,0.115691,0.125405,0.149257,0.42858599999999997,0.12294000000000001,0.36980100000000005,0.12933599999999998,0.389979,0.104769,0.632499,0.14096,-1.8983900000000003e-06,3.7967800000000005e-06,0.036693300000000005,0.011008,0.507093,0.04906919999999999,-0.37,0.05,-0.09,0.0,-0.01
AUS,2015,719.1060000000001,486.00800000000004,-292.026,530.202,-128.567,557.2769999999999,105.53200000000001,368.055,616.212,486.00800000000004,-394.921,530.202,-231.46099999999998,557.2769999999999,2.63816,368.055,1005.39,485.95300000000003,-5.74213,530.1519999999999,157.717,557.229,391.81699999999995,367.98199999999997,-50.398,19.1657,-52.4963,-15.7489,389.17800000000005,7.302239999999999,-1.41,0.45,0.66,0.73,0.78
AUS,2016,179.542,581.492,-1607.43,607.248,-1030.11,763.9110000000001,-973.068,460.648,79.9587,581.492,-1707.02,607.248,-1129.69,763.9110000000001,-1072.65,460.648,476.149,581.446,-1310.83,607.203,-733.502,763.8760000000001,-676.461,460.589,-47.0871,12.5438,-52.4963,-15.7489,396.191,7.38313,-2.03,0.45,0.66,0.73,0.78
